City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Tigzirt,DZ,86.36,clear sky,36.89,4.12,Appartement de la plage
3,Atuona,PF,78.21,light rain,-9.8,-139.03,Villa Enata
4,Meulaboh,ID,80.46,light rain,4.14,96.13,Kost Pria
10,Naze,JP,84.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
18,Labuhan,ID,80.56,few clouds,-6.88,112.21,bador sepret
21,Tabou,CI,78.42,light rain,4.42,-7.35,hotêl doufoulougou
22,Touros,BR,84.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
23,Faya,SA,78.8,scattered clouds,18.39,42.45,مقبرة ال مجمل
32,Arraial Do Cabo,BR,80.6,clear sky,-22.97,-42.03,Pousada Porto Praia
35,Phangnga,TH,82.4,few clouds,8.45,98.53,Rattanapong Hotel
37,Pakokku,MM,87.57,overcast clouds,21.33,95.1,Royal Palace Motel
38,Cabo San Lucas,MX,79.0,moderate rain,22.89,-109.91,Hotel Tesoro Los Cabos
40,Nouakchott,MR,87.8,scattered clouds,18.09,-15.98,Hôtel Iman
47,Hasaki,JP,79.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
49,Orguz,BA,86.0,clear sky,43.77,16.86,Juričev hotel
50,Dakar,SN,87.8,broken clouds,14.69,-17.44,Novotel Dakar
53,Cayenne,GF,82.4,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
59,Georgetown,MY,86.0,few clouds,5.41,100.34,Cititel Penang
64,Erzin,TR,89.01,clear sky,36.96,36.2,Artemis Otel
67,Porto Novo,BJ,82.4,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
70,Tarangnan,PH,80.74,moderate rain,11.9,124.75,Rainbow Resort (Pools and Recreation)
81,San Policarpo,PH,80.85,light rain,12.18,125.51,Zal-Ann Beach Resort
83,Namatanai,PG,79.54,broken clouds,-3.67,152.43,Namatanai Hotel
97,Sao Filipe,CV,80.87,overcast clouds,14.9,-24.5,Tortuga B&B
101,Hithadhoo,MV,82.8,overcast clouds,-0.6,73.08,Scoop Guest House
102,Haimen,CN,86.0,overcast clouds,23.19,116.61,Jinghao Business Hotel
103,Bengkulu,ID,78.89,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
105,Songea,TZ,78.8,scattered clouds,-10.68,35.65,mtakuja
110,Axim,GH,80.17,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
113,Padang,ID,79.07,light rain,-0.95,100.35,Mercure Padang
116,Samarai,PG,78.22,light rain,-10.62,150.67,Nuli Sapi
128,Katsuura,JP,82.4,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
135,Plainview,US,78.01,overcast clouds,40.78,-73.47,Holiday Inn Plainview-Long Island
141,Mana,GF,86.41,broken clouds,5.66,-53.78,LE SAMANA
143,Keffi,NG,80.6,scattered clouds,8.85,7.87,Imam Family
147,Caravelas,BR,80.31,few clouds,-17.71,-39.25,Pousada dos Navegantes
148,Oktyabrskoye,RU,78.8,scattered clouds,43.06,44.74,Prolesok Mini-hotel
156,Butaritari,KI,82.4,clear sky,3.07,172.79,Isles Sunset Lodge
158,Lahad Datu,MY,79.48,scattered clouds,5.03,118.33,The 27th House
172,Malpe,IN,78.8,scattered clouds,13.35,74.72,Hotel Sri Krishna Residency
173,Cravo Norte,CO,82.33,light rain,6.3,-70.2,Hotel El Puerto
186,Xuddur,SO,86.11,broken clouds,4.12,43.89,Banjanay Hotel
188,Cadiz,ES,81.0,scattered clouds,36.5,-5.75,Hacienda Barriche
190,Asau,RO,88.0,clear sky,46.43,26.4,Casa Mika Ciobanus
191,Jalingo,NG,83.28,light rain,8.88,11.37,Debright Motel
192,Port Blair,IN,83.12,broken clouds,11.67,92.75,Fortune Resort Bay Island
194,Russell,US,80.6,broken clouds,32.35,-85.2,Macs
197,Kalabo,ZM,85.37,overcast clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
198,Madisonville,US,78.8,broken clouds,37.33,-87.5,Days Inn by Wyndham Madisonville
199,Lorengau,PG,81.9,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
201,Kralendijk,BQ,82.47,clear sky,12.15,-68.27,Divi Flamingo Beach Resort & Casino
204,Sinnamary,GF,86.59,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
210,Ca Mau,VN,80.91,clear sky,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
211,Malabo,GQ,80.6,scattered clouds,3.75,8.78,Magno Suites
214,Inhambane,MZ,78.01,broken clouds,-23.86,35.38,Oceano
222,Makakilo City,US,78.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
223,Bandrele,YT,82.4,few clouds,-12.91,45.19,Les Baobabs
225,Hirara,JP,84.09,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
226,Sideropolis,BR,87.3,clear sky,-28.6,-49.42,Hotel Costa Rique
227,Buala,SB,79.9,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
228,Ewa Beach,US,78.8,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
232,Alta Floresta,BR,87.8,smoke,-9.88,-56.09,Floresta Amazonica Hotel
236,Betioky,MG,85.57,broken clouds,-23.72,44.38,Bungalows Acacias Hotel
243,Hondo,JP,82.71,clear sky,32.45,130.2,ホテル河丁
244,Puebloviejo,CO,86.0,scattered clouds,10.99,-74.28,The Journey Hostel
249,Cabedelo,BR,84.2,broken clouds,-6.98,-34.83,Lua Mansa Pousada
252,Ribeira Grande,PT,80.6,few clouds,38.52,-28.7,Quinta da Meia Eira
258,Saint George,US,82.4,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
260,Alexandria,EG,86.0,few clouds,31.22,29.96,Royal Crown Hotel
261,Jatai,BR,89.98,clear sky,-17.88,-51.71,La Vitre Hotel
262,Pontian Kecil,MY,78.01,few clouds,1.48,103.39,SUNFLOWER EXPRESS HOTEL
264,Antsohihy,MG,84.33,clear sky,-14.88,47.99,Hotel de Ville
266,Wahiawa,US,78.8,broken clouds,21.5,-158.02,The Inn At Schofield
270,Santa Cruz,BO,82.4,clear sky,-17.8,-63.17,Hotel Cortez
271,Tutoia,BR,88.38,few clouds,-2.76,-42.27,Pousada Guará's
273,Pandan,PH,78.35,moderate rain,14.05,124.17,Bonifacio Lodge
280,Babu,CN,79.74,few clouds,24.42,111.52,IU Hotel Hezhou Bus Terminal
284,Komsomolskiy,UZ,86.0,clear sky,40.43,71.72,Ikathouse
288,Oistins,BB,84.2,shower rain,13.07,-59.53,Butterfly Beach Hotel
289,Victoria,HK,86.0,clear sky,22.29,114.16,Mini Hotel Central
290,Fethiye,TR,86.0,clear sky,36.62,29.12,Club & Hotel Letoonia
291,Maceio,BR,80.6,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
294,Manoel Urbano,BR,89.55,overcast clouds,-8.84,-69.26,Baixada Beira Rio
298,Auki,SB,78.1,overcast clouds,-8.77,160.7,Auki Motel
303,San Antonio,US,82.99,scattered clouds,29.42,-98.49,Marriott Plaza San Antonio
313,Mitsamiouli,KM,84.2,scattered clouds,-11.38,43.28,Foyer ADM
315,High Rock,BS,86.0,shower rain,26.62,-78.28,Ocean Pearl Bonefishing Resort
322,Vila Velha,BR,78.8,broken clouds,-20.33,-40.29,Hotel Vitória Palace
325,Takoradi,GH,79.32,broken clouds,4.88,-1.76,Raybow International Hotel
327,Parit Buntar,MY,86.0,thunderstorm,5.13,100.49,K Garden Hotel Parit Buntar
331,Naraura,IN,84.81,few clouds,28.2,78.38,NAPS Guest House
332,Barra,BR,86.95,broken clouds,-11.09,-43.14,Motel Albatroz
333,Pineville,US,84.99,few clouds,31.32,-92.43,"Country Inn & Suites by Radisson, Pineville, LA"
334,Mawlaik,MM,80.01,moderate rain,23.63,94.42,AKZ Guest House
337,Ixtapa,MX,78.01,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
