City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.42,19.23,54.0,56,82,5.01,broken clouds
1,Tigzirt,DZ,36.89,4.12,86.36,46,0,10.36,clear sky
2,Barrow,US,71.29,-156.79,37.4,90,90,19.46,overcast clouds
3,Atuona,PF,-9.8,-139.03,78.21,80,16,19.66,light rain
4,Meulaboh,ID,4.14,96.13,80.46,78,100,2.28,light rain
5,Nome,US,64.5,-165.41,54.0,81,90,5.82,overcast clouds
6,Zheleznodorozhnyy,RU,55.75,38.0,66.2,59,56,6.71,broken clouds
7,Port Lincoln,AU,-34.73,135.87,57.99,81,91,16.67,overcast clouds
8,Klaksvik,FO,62.23,-6.59,51.8,76,75,6.93,broken clouds
9,Korla,CN,41.76,86.15,72.0,81,0,5.99,clear sky
10,Naze,JP,28.37,129.48,84.2,89,54,4.7,broken clouds
11,Norman Wells,CA,65.28,-126.83,33.8,71,20,5.82,few clouds
12,Vardo,NO,70.37,31.11,51.8,81,40,5.82,shower rain
13,Fortuna,US,40.6,-124.16,55.0,93,90,3.36,overcast clouds
14,Busselton,AU,-33.65,115.33,46.0,63,0,7.11,clear sky
15,Kodiak,US,57.79,-152.41,50.0,87,40,9.75,scattered clouds
16,Port Alfred,ZA,-33.59,26.89,59.67,52,20,29.57,few clouds
17,Rikitea,PF,-23.12,-134.97,69.15,69,100,6.22,overcast clouds
18,Labuhan,ID,-6.88,112.21,80.56,77,12,7.52,few clouds
19,Alofi,NU,-19.06,-169.92,75.2,78,65,12.75,broken clouds
20,Emporia,US,38.4,-96.18,68.0,94,75,13.87,broken clouds
21,Tabou,CI,4.42,-7.35,78.42,78,98,14.2,light rain
22,Touros,BR,-5.2,-35.46,84.2,62,75,20.8,broken clouds
23,Faya,SA,18.39,42.45,78.8,64,40,11.41,scattered clouds
24,Faanui,PF,-16.48,-151.75,77.05,81,37,25.34,light rain
25,Yulara,AU,-25.24,130.99,60.8,21,1,4.7,clear sky
26,Kapaa,US,22.08,-159.32,72.0,59,22,10.65,light rain
27,Nyurba,RU,63.28,118.33,53.1,88,98,1.36,overcast clouds
28,Kaitangata,NZ,-46.28,169.85,53.01,70,100,15.01,overcast clouds
29,Bluff,NZ,-46.6,168.33,45.0,72,100,11.01,light rain
30,Mataura,NZ,-46.19,168.86,45.0,72,100,11.01,overcast clouds
31,Chokurdakh,RU,70.63,147.92,38.55,92,100,4.85,overcast clouds
32,Arraial Do Cabo,BR,-22.97,-42.03,80.6,65,0,19.46,clear sky
33,Antofagasta,CL,-23.65,-70.4,55.4,71,90,6.93,overcast clouds
34,Lasa,IT,46.62,10.7,59.0,100,75,3.36,moderate rain
35,Phangnga,TH,8.45,98.53,82.4,78,20,3.36,few clouds
36,Tulun,RU,54.56,100.58,56.16,87,100,6.26,light rain
37,Pakokku,MM,21.33,95.1,87.57,63,93,9.46,overcast clouds
38,Cabo San Lucas,MX,22.89,-109.91,79.0,92,100,1.99,moderate rain
39,Sitka,US,57.05,-135.33,48.2,93,40,2.93,scattered clouds
40,Nouakchott,MR,18.09,-15.98,87.8,70,40,17.22,scattered clouds
41,Ushuaia,AR,-54.8,-68.3,28.4,92,90,5.82,snow
42,Umm Lajj,SA,25.02,37.27,90.63,49,0,7.85,clear sky
43,Teguldet,RU,57.31,88.17,56.52,90,77,4.14,broken clouds
44,Port Elizabeth,ZA,-33.92,25.57,57.2,54,20,25.28,few clouds
45,Cherskiy,RU,68.75,161.3,35.94,97,90,6.15,overcast clouds
46,Sumkino,RU,58.11,68.32,66.74,71,40,5.7,scattered clouds
47,Hasaki,JP,35.73,140.83,79.0,94,75,5.82,broken clouds
48,Albany,US,42.6,-73.97,70.0,92,100,5.99,overcast clouds
49,Orguz,BA,43.77,16.86,86.0,51,0,14.99,clear sky
50,Dakar,SN,14.69,-17.44,87.8,70,75,2.24,broken clouds
51,Punta Arenas,CL,-53.15,-70.92,37.0,77,75,21.92,light intensity shower rain
52,Vostok,RU,46.49,135.88,50.13,100,100,7.27,moderate rain
53,Cayenne,GF,4.93,-52.33,82.4,78,90,9.17,overcast clouds
54,Coihaique,CL,-45.58,-72.07,35.6,64,40,3.36,scattered clouds
55,Kamaishi,JP,39.27,141.88,74.59,90,62,10.09,light rain
56,Muros,ES,42.78,-9.06,64.0,77,1,5.99,clear sky
57,Fairbanks,US,64.84,-147.72,48.2,100,90,4.7,mist
58,Puerto Ayora,EC,-0.74,-90.35,65.79,84,100,10.87,overcast clouds
59,Georgetown,MY,5.41,100.34,86.0,66,20,4.7,few clouds
60,East London,ZA,-33.02,27.91,59.0,67,20,26.4,few clouds
