City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nanortalik,GL,2020-08-26 02:15:58,60.14,-45.24,44.29,83,4,6.8
1,Rikitea,PF,2020-08-26 02:18:51,-23.12,-134.97,70.43,70,0,7.56
2,Dikson,RU,2020-08-26 02:18:51,73.51,80.55,47.01,94,27,6.96
3,Hilo,US,2020-08-26 02:18:51,19.73,-155.09,84.2,62,1,10.29
4,Avarua,CK,2020-08-26 02:16:22,-21.21,-159.78,77.0,73,23,6.93
5,Chongoyape,PE,2020-08-26 02:18:52,-6.64,-79.39,65.1,61,2,1.59
6,Lebu,CL,2020-08-26 02:18:52,-37.62,-73.65,50.97,83,84,21.88
7,Atuona,PF,2020-08-26 02:18:53,-9.8,-139.03,78.82,72,28,10.85
8,Bethel,US,2020-08-26 02:16:23,41.37,-73.41,73.4,64,1,4.7
9,Bredasdorp,ZA,2020-08-26 02:18:53,-34.53,20.04,46.4,87,99,5.82
10,Tuktoyaktuk,CA,2020-08-26 02:18:53,69.45,-133.04,51.8,76,40,10.29
11,Aktau,KZ,2020-08-26 02:18:53,43.65,51.2,57.2,82,0,6.71
12,Ushuaia,AR,2020-08-26 02:16:17,-54.8,-68.3,39.2,64,75,4.7
13,Khatanga,RU,2020-08-26 02:16:14,71.97,102.5,64.74,48,3,6.2
14,Touros,BR,2020-08-26 02:16:47,-5.2,-35.46,73.4,94,20,2.24
15,Jamestown,US,2020-08-26 02:18:54,42.1,-79.24,69.01,64,1,6.93
16,Tuatapere,NZ,2020-08-26 02:18:55,-46.13,167.68,45.0,72,90,11.01
17,Hambantota,LK,2020-08-26 02:16:39,6.12,81.12,77.0,100,20,4.7
18,Pereslavl-Zalesskiy,RU,2020-08-26 02:18:56,56.74,38.86,58.42,96,100,8.46
19,Chuy,UY,2020-08-26 02:18:56,-33.7,-53.46,59.58,82,100,10.51
20,Neuquen,AR,2020-08-26 02:18:56,-38.95,-68.06,48.2,70,43,6.93
21,Kapaa,US,2020-08-26 02:16:26,22.08,-159.32,86.0,66,1,12.75
22,Bluff,NZ,2020-08-26 02:16:15,-46.6,168.33,45.0,72,100,11.01
23,Ha Giang,VN,2020-08-26 02:18:57,22.83,104.98,90.64,52,0,1.54
24,New Norfolk,AU,2020-08-26 02:18:57,-42.78,147.06,53.01,76,100,1.99
25,Teahupoo,PF,2020-08-26 02:18:57,-17.83,-149.27,82.4,65,40,8.05
26,Tasiilaq,GL,2020-08-26 02:16:37,65.61,-37.64,39.2,69,0,5.82
27,Ponta Do Sol,PT,2020-08-26 02:18:58,32.67,-17.1,75.2,60,20,18.34
28,Ayagoz,KZ,2020-08-26 02:18:58,47.97,80.44,57.09,56,0,4.12
29,Albany,US,2020-08-26 02:14:32,42.6,-73.97,73.0,50,0,12.3
30,Ayame,CI,2020-08-26 02:18:58,5.61,-3.16,69.57,97,22,2.71
31,Fairview,US,2020-08-26 02:18:57,40.81,-74.0,80.6,88,1,5.82
32,Kruisfontein,ZA,2020-08-26 02:16:27,-34.0,24.73,57.99,90,56,13.73
33,Lodja,CD,2020-08-26 02:18:59,-3.48,23.43,70.36,93,73,1.81
34,Zhezkazgan,KZ,2020-08-26 02:18:59,47.8,67.71,62.11,41,0,5.3
35,Siavonga,ZM,2020-08-26 02:18:59,-16.54,28.71,67.6,49,0,2.75
36,Kloulklubed,PW,2020-08-26 02:16:16,7.04,134.26,87.8,66,75,10.29
37,Vaini,TO,2020-08-26 02:19:00,-21.2,-175.2,78.8,78,75,3.36
38,Mataura,NZ,2020-08-26 02:19:00,-46.19,168.86,45.0,72,98,11.01
39,Fortuna,US,2020-08-26 02:14:14,40.6,-124.16,62.01,87,1,12.75
40,Punta Arenas,CL,2020-08-26 02:19:00,-53.15,-70.92,30.2,74,42,5.82
41,Hermanus,ZA,2020-08-26 02:19:01,-34.42,19.23,46.99,93,97,11.83
42,Nelson Bay,AU,2020-08-26 02:19:01,-32.72,152.15,64.0,44,20,11.41
43,Srednekolymsk,RU,2020-08-26 02:19:01,67.45,153.68,50.27,54,80,8.7
44,Kurchum,KZ,2020-08-26 02:19:01,48.57,83.65,60.49,56,0,10.98
45,Pilar,BR,2020-08-26 02:19:01,-9.6,-35.96,71.6,100,75,5.82
46,Concepcion Del Oro,MX,2020-08-26 02:19:02,24.63,-101.42,67.39,54,89,14.38
47,Port Macquarie,AU,2020-08-26 02:19:02,-31.43,152.92,64.99,44,1,8.59
48,Severo-Kurilsk,RU,2020-08-26 02:19:02,50.68,156.12,52.65,93,97,19.48
49,Verkhnyaya Inta,RU,2020-08-26 02:19:02,65.98,60.31,52.63,95,99,9.73
50,Peniche,PT,2020-08-26 02:19:02,39.36,-9.38,68.0,93,0,5.01
51,Hobart,AU,2020-08-26 02:16:52,-42.88,147.33,54.0,54,75,14.99
52,Cape Town,ZA,2020-08-26 02:16:09,-33.93,18.42,57.99,81,20,11.41
53,Mongar,BT,2020-08-26 02:19:03,27.27,91.24,71.83,71,0,0.89
54,Georgetown,MY,2020-08-26 02:16:20,5.41,100.34,84.2,74,20,8.05
55,Veraval,IN,2020-08-26 02:19:03,20.9,70.37,81.14,83,99,16.93
56,Pangnirtung,CA,2020-08-26 02:19:04,66.15,-65.71,45.25,80,99,1.77
57,Novobirilyussy,RU,2020-08-26 02:19:04,56.95,90.67,56.08,91,100,4.14
58,Nizhneudinsk,RU,2020-08-26 02:19:04,54.91,99.03,60.3,66,62,5.41
59,Grand Bend,CA,2020-08-26 02:15:28,43.32,-81.75,73.0,75,5,10.0
60,Bonavista,CA,2020-08-26 02:19:04,48.65,-53.11,57.99,86,100,3.0
61,Moroyama,JP,2020-08-26 02:19:04,35.93,139.3,98.01,62,75,3.36
62,Cidreira,BR,2020-08-26 02:16:50,-30.18,-50.21,62.24,84,69,24.02
63,Tiksi,RU,2020-08-26 02:17:00,71.69,128.87,41.76,72,0,11.86
64,Haines Junction,CA,2020-08-26 02:19:05,60.75,-137.51,57.42,53,100,6.24
65,Ouadda,CF,2020-08-26 02:19:05,8.08,22.4,66.43,96,98,4.16
66,Ambilobe,MG,2020-08-26 02:19:06,-13.2,49.05,64.11,86,0,3.67
67,Zaranj,AF,2020-08-26 02:19:06,30.97,61.88,72.09,33,0,34.85
68,Upernavik,GL,2020-08-26 02:16:41,72.79,-56.15,41.58,89,79,3.74
69,Sahuaripa,MX,2020-08-26 02:19:07,29.05,-109.23,86.09,32,0,0.83
70,Lompoc,US,2020-08-26 02:15:14,34.64,-120.46,66.2,82,75,10.29
71,Hithadhoo,MV,2020-08-26 02:15:58,-0.6,73.08,82.04,75,100,8.28
72,Plouzane,FR,2020-08-26 02:19:07,48.38,-4.62,60.8,93,20,5.82
73,Yellowknife,CA,2020-08-26 02:16:02,62.46,-114.35,55.4,93,90,8.05
74,Tiarei,PF,2020-08-26 02:19:08,-17.53,-149.33,82.4,65,40,8.05
75,Serebryanyy Bor,RU,2020-08-26 02:19:08,56.8,124.8,43.61,92,100,7.34
76,Vila Velha,BR,2020-08-26 02:15:31,-20.33,-40.29,68.0,64,78,13.87
77,Tekeli,KZ,2020-08-26 02:19:08,44.83,78.82,62.47,52,44,4.59
78,Sao Sebastiao,BR,2020-08-26 02:19:08,-23.76,-45.41,60.01,75,20,3.47
79,Sakakah,SA,2020-08-26 02:19:09,29.97,40.21,86.0,20,0,9.17
80,Saint-Philippe,RE,2020-08-26 02:19:09,-21.36,55.77,68.0,63,20,6.93
81,Luderitz,NA,2020-08-26 02:16:38,-26.65,15.16,53.83,78,0,6.85
82,Chulym,RU,2020-08-26 02:19:09,55.1,80.96,53.49,90,84,9.69
83,Lyngdal,NO,2020-08-26 02:19:10,58.14,7.07,57.0,82,100,14.0
84,Gijon,ES,2020-08-26 02:16:21,43.54,-5.66,71.01,74,82,1.01
85,Tomari,RU,2020-08-26 02:19:10,47.77,142.07,71.6,73,24,9.82
86,Portland,US,2020-08-26 02:16:52,45.52,-122.68,80.01,34,1,9.17
87,Bridlington,GB,2020-08-26 02:18:34,54.08,-0.19,62.6,88,100,13.87
88,Ribeira Grande,PT,2020-08-26 02:19:12,38.52,-28.7,74.01,91,20,20.47
89,Raudeberg,NO,2020-08-26 02:19:12,61.99,5.14,46.0,94,0,10.69
90,Buta,CD,2020-08-26 02:19:12,2.79,24.73,69.08,98,88,1.9
91,Bud,US,2020-08-26 02:19:13,39.45,-86.18,80.01,88,75,2.59
92,Atar,MR,2020-08-26 02:19:13,20.52,-13.05,84.38,50,88,7.58
93,Ushtobe,KZ,2020-08-26 02:19:13,45.25,77.98,66.07,49,0,21.39
94,Port Alfred,ZA,2020-08-26 02:15:58,-33.59,26.89,61.79,74,76,24.11
95,Sitka,US,2020-08-26 02:19:14,57.05,-135.33,57.2,87,90,8.05
96,Chinchani,IN,2020-08-26 02:19:14,19.87,72.7,80.62,83,47,13.38
